Wilayah,Tahun,Garis Kemiskinan Maret Rp,Jumlah Penduduk Miskin Maret Ribu Jiwa,Jumlah Penduduk Ribu Jiwa,Persentase Penduduk Miskin Maret
Kabupaten Banjarnegara,2021,328679,150.19,1025.71,14.64
Kabupaten Kebumen,2021,390599,212.92,1362.76,15.62
Kabupaten Purworejo,2021,376127,88.80,774.47,11.47
Kabupaten Wonosobo,2021,373474,139.67,887.38,15.74
Kabupaten Magelang,2021,353608,154.91,1308.20,11.84
Kabupaten Boyolali,2021,361922,104.82,1069.99,9.80
Kabupaten Klaten,2021,436896,158.23,1266.69,12.49
Kabupaten Sukoharjo,2021,410273,73.84,914.21,8.08
Kabupaten Wonogiri,2021,356728,110.46,1044.60,10.57
Kabupaten Karanganyar,2021,401542,95.41,940.89,10.14
Kabupaten Sragen,2021,363349,122.91,982.32,12.51
Kabupaten Grobogan,2021,404456,175.72,1464.60,12.00
Kabupaten Blora,2021,363649,107.05,888.28,12.05
Kabupaten Rembang,2021,414977,101.40,649.39,15.61
Kabupaten Pati,2021,458616,128.74,1335.39,9.64
Kabupaten Kudus,2021,450992,67.06,856.45,7.83
Kabupaten Jepara,2021,419028,95.22,1196.48,7.96
Kabupaten Demak,2021,445176,151.74,1214.42,12.49
Kabupaten Semarang,2021,416395,83.61,1061.55,7.88
Kabupaten Temanggung,2021,336034,79.09,795.03,9.95
Kabupaten Kendal,2021,407387,100.00,1027.95,9.73
Kabupaten Batang,2021,318330,74.91,809.42,9.25
Kabupaten Pekalongan,2021,416779,95.26,983.36,9.69
Kabupaten Pemalang,2021,401857,215.08,1486.27,14.47
Kabupaten Tegal,2021,404655,123.52,1613.38,7.66
